N° Guía,Fecha,Objetivos de Aprendizaje,,Contenido,Técnica de evaluación,Instrumento de evaluación,Tipo de Evaluación,Tiempo en minutos,Estrategias de estudio,Recursos ,Fecha de entrega
10,11 de mayo,Conceptual:,,Primer momento:,Desempeño,Cuaderno del estudiante,Parcial III,60 m,Otros,observación directa,
,,describir los tipos de jefes,,tipos de jefes,realiza una observación de como se dan los tipos de jefes en las distintas organizaciones que tú conoces,,,,,,18/05/2024
,,Procedimental:,,Segundo momento:,,,,,,,
,,,,,,,,,,,
,,Actitudinal:,,Tercer momento:,,,,,,,
,,,,,,,,,,,
TOTAL HORAS,,,,,,,,0,,,
,,,,,,,,,,,
N° Enc.,Fecha,Objetivos,,Momentos didácticos ,Unidad,Actividad,Forma organizativa de la enseñanza,Tiempo en minutos,Técnicas de aprendizaje,Descripción de la estrategia de aprendizaje,Eje transversal
11,18 de mayo,Conceptual:,,Primer momento:,Unidad IV:,Inicial,Otras técnicas de aprendizaje,,Debate,,Proyección social
,,"Analizar los tipos de poder, autoridad y delegación de autoridad",,Diagnóstico,La Sociología y la administración,Diagnóstico de los contenidos abordados en la IV unidad,"El poder, autoridad, tipos y características",30 M ,conversatorio unidad IV ,La docente genera la participación en un debate sobre los contenidos abordados en la unidad IV,primer momento haciendo énfasis en la relación de la autoridad y los avances que ha tenido la sociedad
,,Procedimental:,,Segundo momento:,,Desarrollo,Otras técnicas de aprendizaje,,Otros,,
,,Relacionar los tipos de autoridad y poder y como se dan en la vida cotidiana,,Evaluación,,Evaluación,evaluación,60 m,evaluación de los aprendizajes,La docente brinda una prueba escrita como forma de evaluación de los aprendizajes,
,,Actitudinal:,,Tercer momento:,,Cierre,Otras técnicas de aprendizaje,,Otros,,
,,valorar la importancia de la asignatura,,Importancia de la asignatura,,Debate sobre la importancia de la asignatura,Debate sobre la importancia de la asignatura,30 m,Debate sobre la importancia de la asignatura,se realiza un espacio de discusión sobre la importancia de la asignatura,
TOTAL HORAS,,,,,,,,#VALUE!,,,
,,,,,,,,,,,
N° Guía,Fecha,Objetivos de Aprendizaje,,Contenido,Técnica de evaluación,Instrumento de evaluación,Tipo de Evaluación,Tiempo en minutos,Estrategias de estudio,Recursos ,Fecha de entrega
11,18 de mayo,Conceptual:,,Primer momento:,,,,,,,
,,No aplica último sábado de clase,,,,,,,,,
,,Procedimental:,,Segundo momento:,,,,,,,
,,,,,,,,,,,
,,Actitudinal:,,Tercer momento:,,,,,,,
,,,,,,,,,,,
TOTAL HORAS,,,,,,,,0,,,
,,,,,,,,,,,
N° Enc.,Fecha,Objetivos,,Momentos didácticos ,Unidad,Actividad,Forma organizativa de la enseñanza,Tiempo en minutos,Técnicas de aprendizaje,Descripción de la estrategia de aprendizaje,Eje transversal
12,25 de mayo,Conceptual:,,Primer momento:,,,,,,,
,,No aplica último sábado es de capacitación,,,,,,,,,
,,Procedimental:,,Segundo momento:,,,,,,,
,,,,,,,,,,,
,,Actitudinal:,,Tercer momento:,,,,,,,
,,,,,,,,,,,
TOTAL HORAS,,,,,,,,0,,,
,,,,,,,,,,,
N° Guía,Fecha,Objetivos de Aprendizaje,,Contenido,Técnica de evaluación,Instrumento de evaluación,Tipo de Evaluación,Tiempo en minutos,Estrategias de estudio,Recursos ,Fecha de entrega
12,25 de mayo,Conceptual:,,Primer momento:,,,,,,,
,,,,,,,,,,,
,,Procedimental:,,Segundo momento:,,,,,,,
,,,,,,,,,,,
,,Actitudinal:,,Tercer momento:,,,,,,,
,,,,,,,,,,,
TOTAL HORAS,,,,,,,,0,,,
